This Twitter Feed is Recording for this Bounding Box (sw long, sw lat, ne long, ne lat)  -84.6,33.3,-83.9,33.9Starting at this date and time  Thu Nov 03 2016 21:09:07 GMT-0400 (Eastern Daylight Time)
Screen Name, Tweet Content, Tweet Time, User Location, Coordinates, Tweet Place
"irfirestarter","This is official y'all. @Snapon_Tools for president. Lol https://t.co/EKQ2W7bVwa","Fri Nov 04 01:10:02 +0000 2016","Under the moon!","null","North Carolina, USA"
"chevynee","never wanted to be around a bunch of frat guys in Athens so bad :/  https://t.co/GBn7nC2mH5","Fri Nov 04 01:10:03 +0000 2016","georgia","null","Georgia, USA"
"Hannah_Hoopla","Someone come have a movie night with and drink white hot coco please","Fri Nov 04 01:10:04 +0000 2016","null","null","Georgia, USA"
"blaikebrooks","@MasonWhited ❤️❤️","Fri Nov 04 01:10:04 +0000 2016","null","null","North Carolina, USA"
"_tiannapark","Sooooooooo hungry , someone pls help","Fri Nov 04 01:10:04 +0000 2016","planet maully","null","North Carolina, USA"
"babyxtee_","i want to fight.","Fri Nov 04 01:10:05 +0000 2016","detroit playaaaa","null","Atlanta, GA"
"CZOGotBeats","We jus like to kno if she interested https://t.co/XLyMjAzDfz","Fri Nov 04 01:10:06 +0000 2016","Atlanta , GA","null","Georgia, USA"
"bigbeezyshouse","Um excuse me ma'am https://t.co/vot3QcDbxX","Fri Nov 04 01:10:02 +0000 2016","in the thick of it","null","Stockbridge, GA"
"_notsoslimjesus","DONT NOBODIES WEED SMOKE LIKE THE SHIT I BE SMOKING.","Fri Nov 04 01:10:07 +0000 2016","null","null","North Carolina, USA"
"makaylathetwin","yall remember that stripback?? 
y'all shorty necked for 20 her first night as a stripper 😭","Fri Nov 04 01:10:07 +0000 2016","atl","null","Georgia, USA"
"jazthewiz","Centennial Park YMCA 😭
Narvie Elementary 🐬💙
Champion Middle School 🐺❤
Stockbridge High School 🐯💚 https://t.co/U7Ken0RLIl","Fri Nov 04 01:10:08 +0000 2016","Atlanta, GA","null","Georgia, USA"
"chensational_","@ryan_enriquez12 @AlecWnuk except neither of you is very good https://t.co/Ii17Ulwtk2","Fri Nov 04 01:10:08 +0000 2016","Tucson, AZ","null","Georgia, USA"
"LyricalEyesAZP","God will make you the head and not the tail 🙌 ayeeeeee 🙈🙏 thank you JESUS","Fri Nov 04 01:10:08 +0000 2016","Chicago Atlanta New York LA ✈️","null","Atlanta, GA"
