This Twitter Feed is Recording for this Bounding Box (sw long, sw lat, ne long, ne lat)  -84.6,33.3,-83.9,33.9Starting at this date and time  Fri Nov 04 2016 20:56:57 GMT-0400 (Eastern Daylight Time)
Screen Name, Tweet Content, Tweet Time, User Location, Coordinates, Tweet Place
"jlib9","Anyone else feeling a come back? @BlaisersPub @Hags44 https://t.co/Rj6dTkjoNr","Sat Nov 05 00:59:12 +0000 2016","Georgia, USA","null","Georgia, USA"
"Jurvontay","Always clean my room before I leave 😎🙂","Sat Nov 05 00:59:13 +0000 2016","Atlanta, GA","null","Atlanta, GA"
"OlasWorld_","@prospectaj_ how much u willing ta bet on that?","Sat Nov 05 00:59:13 +0000 2016","♻️ ( $0UFSiDE ) ","null","Georgia, USA"
"GENODABOSS","@idieslow667 Tuesday November 8th @101Distribution Presents #HipHop Mixtape release party of #Genodaboss Sign up to… https://t.co/OE9nIKdR40","Sat Nov 05 00:59:14 +0000 2016","New Orleans, La. Ninth Ward","null","Georgia, USA"
"ThatBoyRafi","See what you hoes do 😂😂 https://t.co/On4yMaRHVE","Sat Nov 05 00:59:15 +0000 2016","Georgia, USA","null","Georgia, USA"
"brttang","happy bday @_harrisonboyd hope it's a great one!","Sat Nov 05 00:59:20 +0000 2016","snapchat: brettanglin","null","Georgia, USA"
"toastersix","@mockingnerd Good lord, really?!","Sat Nov 05 00:59:20 +0000 2016","Atlanta, GA","null","Atlanta, GA"
"Diana_Natashaa","@Lundynnnnnn I'm weak 😭😭😭😭","Sat Nov 05 00:59:20 +0000 2016","Atlanta, GA","null","Atlanta, GA"
"SinBinPhantoms","Phantoms with 1:17 of a five on three to start theb third period.","Sat Nov 05 00:59:21 +0000 2016","Atlanta, GA","null","Georgia, USA"
"Prosperous_Me","@RealErvMitchell @CEOcypha I'm out che","Sat Nov 05 00:59:22 +0000 2016","St.Thomas U.S.Virgin Isles✈ATL","null","Atlanta, GA"
"CvHSABC","HALFTIME VFB: @CHHSPirates 49, Cleveland 35 @PrepsNow #rduscores @cvhsramfam #TwoRivers3A","Sat Nov 05 00:59:23 +0000 2016","Clayton, NC","null","North Carolina, USA"
"multicolorlady","@WilliamEads53 @MT_FBRecruiting #MoneyTeam","Sat Nov 05 00:59:24 +0000 2016","null","null","Georgia, USA"
"Karie_Gates","Don't sleep on my Lakers this year","Sat Nov 05 00:59:25 +0000 2016","Atlanta, GA","null","Atlanta, GA"
"Jessdahbest","MF MOOD. https://t.co/1rjNM8gYk6","Sat Nov 05 00:59:25 +0000 2016","ATL","null","Atlanta, GA"
"damntaae","If you go to Hampton and we called each other " friend " we not on more and that on my mama .","Sat Nov 05 00:59:25 +0000 2016","Hampton, GA","null","Hampton, GA"
"Myrddin_Davies","#RememberWhenTrump supported @HillaryClinton vehemently, and suddenly she's crooked?","Sat Nov 05 00:59:27 +0000 2016","null","null","Georgia, USA"
"I_Am_Xavier_","@Briccyardlilyo What we looking like? Good, Bad and ugly","Sat Nov 05 00:59:28 +0000 2016","Athens/Atlanta","null","Georgia, USA"
"irfirestarter","And they concluded they should suppress the vote. https://t.co/UgRQPnNPgR","Sat Nov 05 00:59:30 +0000 2016","Under the moon!","null","North Carolina, USA"
"TrillGotJuice","@SunnyTheRapper u know i gotchu bro 🙏🏾🙏🏾🙏🏾💯","Sat Nov 05 00:59:31 +0000 2016","New Barolina, USA","null","North Carolina, USA"
"doodlebug11543","White Live Matter","Sat Nov 05 00:59:32 +0000 2016","null","null","North Carolina, USA"
"yofancy_","I wanna go to the hookah lounge tonight","Sat Nov 05 00:59:32 +0000 2016","null","null","Atlanta, GA"
"GENODABOSS","@MajorLeakers Tuesday November 8th @101Distribution Presents #HipHop Mixtape release party of #Genodaboss Sign up t… https://t.co/1xrhBgsBGu","Sat Nov 05 00:59:32 +0000 2016","New Orleans, La. Ninth Ward","null","Georgia, USA"
"Ambitious_Ary","I'm going sleep so good tonight 😌","Sat Nov 05 00:59:33 +0000 2016","Chicago ","null","Hartsfield-Jackson Atlanta International Airport (ATL)"
"_devieeee","hi my name is devie and I typed this with my eyes closed https://t.co/R1OCCtKZWg","Sat Nov 05 00:59:35 +0000 2016","clark atlanta university 20'❤️","null","Stone Mountain, GA"
